For Assets,Increase in Assets
Decrease in Assets,Dr.
Cr.
For Liabilities,Decrease in Liabilities
Increase in Liabilities,Dr.
Cr.
For Capital,Decrease in Capital
Increase in Capital,Dr.
Cr.
For Incomes,Decrease in Income
Increase in Income,Dr.
Cr.
For Expense,Increase in Expense
Decrease in Expense,Dr.
Cr.
For Stock,Increase in Stock
Decrease in Stock,Dr.
Cr.
