(1) Wages,(2) Salaries to office staff
(3) Depreciation on office car,(4) Neon sign advertisement
(5) Power & fuel,(6) Repairs to machinery
(7) Maintenance of office building,(8) Purchase returns or return outwards
(9) Closing stock of WIP,(10) Opening stock of finished goods
(11) Interest received,(12) Commission paid
(13) Telephone,(14) Travel & conveyance
(15) Insurance,(16) Audit fees
(17) Carriage inward,(18) Freight outward
(19) Bad debts,(20) Provision for outstanding rent
(21) Return inwards or sales returns,(22) Discount earned
(23) Depreciation on delivery van,(24) Printing and stationery
(25) Sales,
