ID,BIGINT IDENTITY(1,1) NOT NULL
RoleID,INT NOT NULL
EmployeeEmail,NVARCHAR(255) NOT NULL
IsActive,BIT NOT NULL (Default: 1)
CreatedOn,DATETIME NOT NULL (Default: GETDATE())
ModifiedOn,DATETIME NOT NULL (Default: GETDATE())
