Minor Request,T+7 days from the date of receipt to FO interface login of
the Dealing Assistant
Major Request,T+15 days from the date of receipt to FO interface login of
the Dealing Assistant
For cases referred to
EO,Additional 3 days’ time for each type of request.
Note- If JD gets reverted back to the employer, then the request time will start
once it is received back in the login of the concerned official.,
