location,NVARCHAR(15) NULL
email,NVARCHAR(100) NULL
XsInfo,VARCHAR(8000) NULL
SapId,NVARCHAR(20) NULL
Dob,DATETIME NULL
gender,NVARCHAR(1) NULL
address,NVARCHAR(200) NULL
tel1,NVARCHAR(20) NULL
tel2,NVARCHAR(20) NULL
doj,DATETIME NULL
dol,DATETIME NULL
remark,NVARCHAR(200) NULL
MachineName,NVARCHAR(30) NULL
BFlag,NVARCHAR(1) NULL
MFlag,NVARCHAR(1) NULL
