Column Name,Data Type
ID,BIGINT IDENTITY(1,1) NOT NULL
AttDate,DATE NOT NULL
AttDay,NVARCHAR(10) NOT NULL
AttWeek,SMALLINT NOT NULL
AttMonth,TINYINT NOT NULL
AttQuarter,TINYINT NOT NULL
AttYear,SMALLINT NOT NULL
IsWeekDay,BIT NOT NULL
IsHoliday,BIT NOT NULL
HolidayText,NVARCHAR(30) NULL
CreatedOn,DATETIME NOT NULL
ModifiedOn,DATETIME NOT NULL
