AttYear,SMALLINT NOT NULL
IsWeekDay,BIT NOT NULL
IsHoliday,BIT NOT NULL
HolidayText,NVARCHAR(30) NULL
CreatedOn,DATETIME NOT NULL (Default: GETDATE())
ModifiedOn,DATETIME NOT NULL (Default: GETDATE())
